region;immigration;emigration
Latvia;8840;11990
Romania;145519;186818
Croatia;33414;34046
Denmark;57230;53822
Greece;84221;77837
Malta;13885;12679
Hungary;75470;67364
UK;268000;234000
Cyprus;25861;21368
Poland;210615;161666
Estonia;16209;12427
Ireland;74211;55942
Austria;103565;76562
Germany;728606;488138
Luxembourg;22490;14870
Italy;247526;159884
Sweden;82518;48937
Czech Republic;63095;35854
Netherlands;182244;102502
Lithuania;43096;23103
Spain;467918;248561
Belgium;118683;62581
France;283237;144797
Slovenia;36110;17745
Finland;32898;15084
Portugal;67160;25886
Slovakia;6775;2428
Bulgaria;37364;6649
