region;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Austria;7030385;7064693;7107904;7151824;7199798;7247804;7293973;7350159;7403837;7426968;7455142;7479030;7521933;7566469;7605760;7592316;7565489;7565561;7571299;7553310;7545539;7553326;7584094;7564185;7559635;7563233;7566736;7572852;7576319;7594315;7644818;7710882;7798899;7882519;7928746;7943489;7953067;7964966;7971116;7982461;8002186;8020946;8063640;8100273;8142573;8201359;8254298;8282984;8307989;8335003;8351643;8375164;8408121;8451860;8507786;8584926;8700471;8772865;8822267;8858775;8901064;8932664;8978929
Belgium;9128824;9178154;9189741;9251414;9328126;9428100;9499234;9556380;9605601;9631910;9660154;9650944;9695379;9726850;9756590;9788248;9813152;9823302;9837413;9841654;9855110;9863374;9854589;9858017;9853023;9857721;9858895;9864751;9875716;9927612;9947782;9986975;10021997;10068319;10100631;10130574;10143047;10170226;10192264;10213752;10239085;10263414;10309725;10355844;10396421;10445852;10511382;10584534;10666866;10753080;10839905;11000638;11075889;11137974;11180840;11237274;11311117;11351727;11398589;11455519;11522440;11554767;11631136
Bulgaria;7829246;7905502;7980734;8045158;8111132;8177547;8230788;8285325;8335126;8404080;8464264;8514883;8557906;8594493;8647440;8710049;8731434;8785763;8822602;8805462;8846417;8876652;8905581;8929332;8950144;8971214;8949880;8966462;8976255;8986636;8767308;8669269;8595465;8484863;8459763;8427418;8384715;8340936;8283200;8230371;8190876;8149468;7868815;7805506;7745147;7688573;7629371;7572673;7518002;7467119;7421766;7369431;7327224;7284552;7245677;7202198;7153784;7101859;7050034;7000039;6951482;6916548;6838937
Croatia;4127422;4152939;4181645;4211778;4239572;4266180;4295665;4325736;4351629;4379627;4403352;4421151;4441399;4459729;4480592;4500727;4523436;4548432;4570709;4591460;4598095;4601469;4621548;4646921;4669587;4690983;4711852;4731041;4748450;4761965;4772556;4782179;4595865;4555771;4645155;4658893;4581167;4533028;4536812;4527460;4497735;4295406;4305494;4305384;4305725;4310861;4312487;4313530;4311967;4309796;4302847;4289857;4275984;4262140;4246809;4225316;4190669;4154213;4105493;4076246;4058165;4036355;3879074
Cyprus;572000;573566;575900;578900;585500;588400;593200;597100;601800;606800;612000;616900;623100;631778;637800;505700;497879;497600;498000;501300;505800;512300;522845;524623;531518;538397;544605;550888;556584;562693;572655;587141;603069;619231;632944;645399;656333;666313;675215;682862;690497;697549;705539;713720;722893;733067;744013;757916;776333;796930;819140;839751;862011;865878;858000;847008;848319;854802;864236;875899;888005;896007;904705
Czech Republic;9637840;9566172;9607129;9642191;9699179;9756429;9802287;9839792;9866006;9886686;9906474;9809667;9843962;9891302;9953230;10023688;10093551;10158327;10215183;10269012;10315669;10292717;10308465;10321186;10326526;10333900;10340335;10344119;10350517;10360034;10362102;10304607;10312548;10325697;10334013;10333161;10321344;10309137;10299125;10289621;10278098;10232027;10201182;10192649;10195347;10198855;10223577;10254233;10343422;10425783;10462088;10486731;10505445;10516125;10512419;10538275;10553843;10578820;10610055;10649800;10693939;10701777;10516707
Denmark;4565455;4593750;4629624;4665829;4703136;4741008;4777015;4817746;4852962;4876803;4906916;4950598;4975653;5007538;5036184;5054410;5065313;5079879;5096959;5111537;5122065;5123989;5119155;5116464;5112130;5111108;5116273;5124794;5129254;5129778;5135409;5146469;5162126;5180614;5196642;5215718;5251027;5275121;5294860;5313577;5330020;5349212;5368354;5383507;5397640;5411405;5427459;5447084;5475791;5511451;5534738;5560628;5580516;5602628;5627235;5659715;5707251;5748769;5781190;5806081;5822763;5840045;5873420
Estonia;1206362;1216712;1233441;1249804;1267910;1286262;1302870;1314323;1323569;1338858;1351640;1368511;1385399;1399637;1412265;1424073;1434630;1444522;1455900;1464476;1472190;1482247;1493085;1503743;1513747;1523486;1534076;1546304;1558137;1565662;1570599;1567749;1554878;1511303;1476952;1448075;1425192;1405996;1393074;1379237;1401250;1392720;1383510;1375190;1366250;1358850;1350700;1342920;1338440;1335740;1333290;1329660;1325217;1320174;1315819;1314870;1315944;1315635;1319133;1324820;1328976;1330068;1331796
Finland;4413046;4446222;4475787;4507098;4539519;4557567;4569896;4591842;4619645;4633292;4614277;4598336;4625912;4653401;4678761;4702387;4720492;4730836;4746967;4758088;4771292;4787778;4812150;4841715;4869858;4893748;4910664;4925644;4938602;4954359;4974383;4998478;5029002;5054982;5077912;5098754;5116826;5132320;5147349;5159646;5171302;5181115;5194901;5206295;5219732;5236611;5255580;5276955;5300484;5326314;5351427;5375276;5401267;5426674;5451270;5471753;5487308;5503297;5513130;5517919;5525292;5533793;5548241
France;45464797;45903656;46422000;47573406;48059029;48561800;48953792;49373537;49723072;50107735;50528219;51016234;51485953;51915873;52320725;52600000;52798338;53019005;53271566;53481073;53731387;54028630;54335000;54649984;54894854;55157303;55411238;55681780;55966142;56269810;56577000;58313439;58604851;58885929;59104320;59315139;59522297;59726386;59934884;60158533;60545022;60979315;61424036;61864088;62292241;62772870;63229635;63645065;64007193;64350226;64658856;64978721;65276983;65600350;66165980;66458153;66638391;66809816;67026224;67177636;67320216;67656682;67842582
Germany;72542990;73086809;73668454;74383113;75045592;75591082;76336308;76864314;77038358;77550269;78269095;78069482;78556202;78820701;79052630;78882235;78464873;78209026;78110602;78073038;78179662;78397490;78418324;78248407;78008156;77709213;77660533;77780338;77899502;78389735;79112831;79753227;80274564;80974632;81338093;81538603;81817499;82012162;82057379;82037011;82163475;82259540;82440309;82536680;82531671;82500849;82437995;82314906;82217837;82002356;81802257;80222065;80327900;80523746;80767463;81197537;82175684;82521653;82792351;83019213;83166711;83155031;83237124
Greece;8300399;8363050;8433050;8463416;8495834;8525024;8575642;8651660;8716516;8765014;8780514;8805098;8856974;8920282;8937890;8986153;9106928;9269372;9347586;9512332;9584184;9700826;9757874;9821152;9872102;9919500;9949100;9985326;10015863;10058103;10120892;10272691;10367163;10430958;10489871;10535973;10588332;10629267;10693250;10747768;10775627;10835989;10888274;10915770;10940369;10969912;11004716;11036008;11060937;11094745;11119289;11123392;11086406;11003615;10926807;10858018;10783748;10768193;10741165;10724599;10718565;10678632;10603810
Hungary;9961044;10005980;10049935;10071715;10104179;10135490;10160380;10196926;10236282;10275347;10322099;10353721;10381352;10415626;10448484;10508956;10572094;10625259;10670802;10698841;10709463;10712781;10710914;10700155;10678770;10657420;10640006;10621121;10604360;10588614;10374823;10373153;10373647;10365035;10350010;10336700;10321229;10301247;10279724;10253416;10221644;10200298;10174853;10142362;10116742;10097549;10076581;10066158;10045401;10030975;10014324;9985722;9931925;9908798;9877365;9855571;9830485;9797561;9778371;9772756;9769526;9730772;9689010
Ireland;2835500;2821700;2827100;2845000;2860300;2872800;2881800;2895800;2909100;2922000;2943300;2971200;3012900;3060800;3111100;3163900;3215200;3260900;3303500;3354700;3392800;3432800;3473200;3498400;3522800;3542046;3534117;3545263;3534850;3515048;3506970;3520977;3547492;3569367;3583154;3597617;3620065;3654955;3693386;3732006;3777565;3832783;3899702;3964191;4028851;4111672;4208156;4340118;4457765;4521322;4549428;4570881;4589287;4609779;4637852;4677627;4726286;4784383;4830392;4904240;4964440;5006324;5060005
Italy;50025500;50373900;50698800;51060100;51443900;51906800;52317900;52720100;53080900;53390600;53685300;53958400;54188579;54574111;54928700;55293036;55588966;55847553;56063269;56247017;56388480;56479285;56524064;56563031;56565117;56588319;56597823;56594487;56609375;56649201;56694360;56744119;56772923;56821250;56842392;56844408;56844197;56876364;56904379;56909109;56923524;56960692;56987507;57130506;57495900;57874753;58064214;58223744;58652875;59000586;59190143;59364690;59394207;59685227;60782668;60795612;60665551;60589445;60483973;59816673;59641488;59236213;58983122
Latvia;2104128;2137830;2167531;2195640;2226198;2255048;2276789;2289645;2312795;2334443;2351903;2366424;2386353;2404995;2426642;2447730;2464529;2477449;2492697;2503145;2508761;2514640;2524202;2537958;2554063;2570030;2587716;2612068;2641097;2665770;2668140;2658161;2643000;2585675;2540904;2500580;2469531;2444912;2420789;2399248;2381715;2353384;2320956;2299390;2276520;2249724;2227874;2208840;2191810;2162834;2120504;2074605;2044813;2023825;2001468;1986096;1968957;1950116;1934379;1919968;1907675;1893223;1875757
